46,al-Ankihah al-muharramah fi daw' al-Qur'an al-karim : al-mughayyar jinsahu namudhajan / `Ali Thabit `Abd al-Hafiz `Umran.- Details in Pendeta Discovery
47,al-Athar al-waridah `an `Umar ibn al-Khattab fi al-buyu` wa `alaqatuha bi-al-iqtisad al-mu`asir / Kabir Ghuji.- Details in Pendeta Discovery
48,al-Athar al-waridah `an al-sahabah fi sharh Muntaha al-iradat Daqa'iq uli al-nuha li-sharh al-Muntaha li-Mansur al-Buhuti  : kitab al-hudud wa-kitab al-at`immah namudhajan / Yasir Muhammad `Ali al-Mashhadani ; al-mushrif Dr. Faisal Ahmad Shah.- Details in Pendeta Discovery
49,al-Athar al-waridah fi al-buyu` al-ribawiyah fi musannaf `Abd al-Razzaq : takhrij wa-ta`liq / Bahaeeddine Mohamed Nidious.- Details in Pendeta Discovery
50,al-Awqaf fi Sultanah `Umman : dirasah tatbiqiyah `an dawruha fi tanmiyah mu'assasat al-mujtama` al-madani / Saif ibn Ahmad ibn Saif al-Busa`idi.- Details in Pendeta Discovery
51,Al-Baghy menurut siasah syar'iyyah : kajian terhadap kedudukannya dalam sistem politik di Malaysia / Shyfa Azlina Ismail.- Details in Pendeta Discovery
52,Al-Baqilani wa-ara'uhu fi sifat Allah / Najib Sheikh Abdul Samad.- Details in Pendeta Discovery
53,Al-Baqillani's thoughts on selected theological issues of the Qur'an / Much Hasan Darojat.- Details in Pendeta Discovery
54,al-Da`wah wa-`allaqatuha bi-ma`alim al-wasaya al-Qur'aniyah fi awa'il suratay al-Muzammil wa-al-Mudaththir / Abu Bakr Sani Husayn.- Details in Pendeta Discovery
55,Al-Dajjal dari perspektif pemikiran Islam / Wan Farid Wan Mokhtar- Details in Pendeta Discovery
56,al-Dawabit al-shar`iyah lil-bitaqah al-i'timaniyah wa-tatbiqatiha fi Bank al-Bilad bil-Mamlakah al-`Arabiyah al-Su`udiyah wa-al-Bank al-Islami al-Malizi / Yusuf Muhammad al-Jatlawi.- Details in Pendeta Discovery
57,al-Diblumasiyah al-da`wiyah fi al-`ahd al-nabawi / `Abd al-Hafiz Nuri `Abd al-Hamid al-Mulahawaysh.- Details in Pendeta Discovery
58,al-Duyun al-muta`aththirah fi al-masarif al-Islamiyah al-Filastiniyah : dirasah fiqhiyah / Ibrahim Ahmad Muhammad al-Sharuf.- Details in Pendeta Discovery
59,al-Falah fi al-Qur'an : dirasah mawdu`iyah / Ibrahim Muhammad Tawfiq Zayud.- Details in Pendeta Discovery
60,al-Faslu bayna al-`ulama wa al-hukkam fi al-`ahd al-`Abbasi al-Awwal (132-218 AH/749-833 AC) / Spahic Omer.- Details in Pendeta Discovery
61,al-Fawakih al-shahiyah fi hall al-manzumah al-musammah bil-qala'id al-burhaniyah lil-Imam Muhammad ibn `Ali ibn Sallum al-Tamimi (1160H-1246H) : dirasah wa-tahqiq / `Abd al-Latif ibn Muqbil Muhammad al-Ahmad.- Details in Pendeta Discovery
62,al-Fikr al-siyasi al-Islami `inda Hamid Rabi` (1925M-1989M) / Suhayb `Ali Jasim.- Details in Pendeta Discovery
63,al-Ghayb fi al-`aqidah al-Islamiyah : dirasah naqdiyah li-munkiri al-ghayb fi al-Islam / Jamal Bendoud- Details in Pendeta Discovery
64,Al-Ghazaliy : suatu kajian tentang pemikirannya mengenai akal dan kebebasannya / Yaman b. Towpek.- Details in Pendeta Discovery
65,al-Hadi li-Ibn Qudamah al-Maqdisi : dirasah wa tahqiq / `Abd al-Rahman ibn Dakhil ibn Abd al-Rahman al-`Usaymi.- Details in Pendeta Discovery
66,al-Harakah al-thaqafiyah fi Zinjibar `ala `ahd al-salatin al-Busa`idiyin (1806-1961M) / Sa`id ibn `Abd Allah ibn Salam al-Saqri.- Details in Pendeta Discovery
67,al-Harb wa-al-naza`at al-maslahah wa-atharuha `ala huquq al-insan fi al-shari`ah al-Islamiyah wa-al-qanun al-dawli dirasat maqaranah al-Yaman namuzjan 1980-2011 M / Mohammed Ahmed Qasem Shaddad.- Details in Pendeta Discovery
68,Al-hawa dalam penyelewengan akidah : kajian di Kelantan / Nailah binti Ismail.- Details in Pendeta Discovery
69,al-Hawadith al-mururiyah wa-al-mas'uliyah al-mutarattibah `alayha fi al-qanun al-'Iraqi : dirasat fiqhiyah tahliliyah / Awat Muhammed Agha ; supervised by Datin Dr. Paizah Hj. Ismail.- Details in Pendeta Discovery
70,al-Hirabah fi al-mujtama` al-Malizi / Ishaq `Abd Allah.- Details in Pendeta Discovery
71,al-Huquq al-maliyah lil-mar'ah al-muslimah al-`amilah dirasah fi al-Sudan / Buthinah Nuh Muhammad Ibrahim.- Details in Pendeta Discovery
72,al-Huquq al-siyasiyah wa-al-madaniyah li-ghair al-muslimin fi al-dawlah al-Islamiyah fi daw' al-Qur'an wa-al-Sunnah : Maliziya namuzijan / Nasir `Abdullah `Audah `Abd al-Jawad.- Details in Pendeta Discovery
73,Ali bin Abi Talib dan pemikirannya dalam `Ilm Al-Kalam menurut perspektif Syi'ah / Wan Zailan Kamaruddin bin Wan Ali.- Details in Pendeta Discovery
74,'Ali ibn Musa al-Rida dan pemikirannya dalam `Ilm al-Kalam dari perspektif Syi`ah / oleh Ahmad Zuhdi Ismail.- Details in Pendeta Discovery
75,al-I`jaz al-Qur'ani al-ta'thiri fi `ilaj al-amrad al-nafsiyah : dirasah tahliliyah maydaniyah / `Ali `Ali Jubayli Sajid.- Details in Pendeta Discovery
76,al-I`jaz wa-al-lamasat al-bayaniyah fi surat al-Ma'idah / Yaser Saleh Abdullah al-Mabadah.- Details in Pendeta Discovery
77,al-Idha' wa al-nusrah fi hayah al-Nabi Salla Allah `alayhi wa sallam : bahth fi hadithah al-rusum al-Danimarkiyah wa al-juhud al-Islamiyah fi al-nusrah / Mohammad Nazir Mohammad Sarwar.- Details in Pendeta Discovery
78,al-Ijma` `inda Ibn Rushd fi Kitab al-Nikah min khilal kitabihi 
79,al-Ilahiyyat menurut Sayyid Qutb : kajian terhadap konsep al-Hakimiyyah dan pengaruhnya kepada Gerakan Islam di Malaysia / Mohamad Fauzi bin Zakaria.- Details in Pendeta Discovery
80,al-Imam al-Suyuti wa-mawaqifuhu min al-mawlid al-nabawi (d.911H) wa-intiqaduhu lil-Fakihani (d.845H) / Ibtisam `Abd Allah `Ali.- Details in Pendeta Discovery
81,al-Imam Salih ibn Mahdi al-Maqbali (1108H) wa ara'uhu al-usuliyah : dirasah muqaranah / Ameen Ahmed Abdullah Qasem Alnahari.- Details in Pendeta Discovery
82,al-Iman al-Nawawi dan sumbangannya kepada al-hadith : satu kajian mengenai bab al-Tib wa al-Marad wa al-Ruqa menerusi kitabnya Sharh sahid Muslim / Mohd. Muhiden bin Abd. Rahman.- Details in Pendeta Discovery
